id_loc,Annee,id_cndt,1_tour,2_tour
54,1965,4,1129,
54,1965,50,1081,
54,1965,68,3638,
55,1965,4,2042,
55,1965,50,2918,
55,1965,44,32786,
55,1965,18,78809,102642.0
55,1965,68,6667,
55,1965,53,41513,58941.0
57,1965,44,13958,
57,1965,50,4083,
57,1965,4,2013,
57,1965,53,87185,105539.0
57,1965,18,74564,84290.0
57,1965,68,7090,
58,1965,53,14638,21021.0
58,1965,50,773,
58,1965,68,2289,
58,1965,18,19328,24639.0
58,1965,44,7347,
58,1965,4,817,
59,1965,68,8081,
59,1965,50,1942,
59,1965,53,47033,62453.0
59,1965,44,14249,
59,1965,18,41356,49805.0
59,1965,4,956,
62,1965,68,30810,
62,1965,18,84880,105805.0
62,1965,44,33721,
62,1965,53,114145,159238.0
62,1965,50,4860,
62,1965,4,3255,
64,1965,4,3164,
64,1965,53,67156,101651.0
64,1965,18,168730,212296.0
64,1965,44,65764,
64,1965,50,6470,
64,1965,68,11623,
65,1965,53,50271,69208.0
65,1965,50,2531,
65,1965,44,20372,
65,1965,68,7235,
65,1965,4,1729,
65,1965,18,49265,60631.0
66,1965,44,37409,
66,1965,68,13715,
66,1965,4,2416,
66,1965,18,86900,106807.0
66,1965,50,4813,
66,1965,53,61224,93633.0
67,1965,53,132869,179424.0
67,1965,4,5720,
67,1965,18,133193,169194.0
67,1965,44,54101,
67,1965,50,7318,
67,1965,68,22270,
69,1965,50,1564,
69,1965,68,3821,
69,1965,4,1695,
69,1965,53,37787,51835.0
69,1965,44,22498,
69,1965,18,50294,65060.0
72,1965,50,2198,
72,1965,68,8138,
72,1965,53,51731,68826.0
72,1965,44,19697,
72,1965,4,991,
72,1965,18,67832,78729.0
73,1965,68,7438,
73,1965,44,25335,
73,1965,50,2611,
73,1965,4,1736,
73,1965,18,57029,71334.0
73,1965,53,43176,62892.0
74,1965,50,6325,
74,1965,68,16887,
74,1965,44,75250,
74,1965,4,5201,
74,1965,18,130557,174933.0
74,1965,53,103668,150042.0
75,1965,50,7424,
75,1965,44,96328,
75,1965,53,105779,158142.0
75,1965,18,184559,244630.0
75,1965,68,17272,
75,1965,4,3765,
76,1965,68,10109,
76,1965,4,2697,
76,1965,18,96322,117054.0
76,1965,50,4123,
76,1965,53,60344,84173.0
76,1965,44,33300,
77,1965,4,842,
77,1965,18,33246,41066.0
77,1965,44,14100,
77,1965,50,1443,
77,1965,68,3948,
77,1965,53,30933,42979.0
78,1965,4,1664,
78,1965,68,15154,
78,1965,44,24127,
78,1965,53,57734,87178.0
78,1965,18,46654,59512.0
78,1965,50,3384,
79,1965,53,9702,14193.0
79,1965,50,515,
79,1965,4,438,
79,1965,68,2375,
79,1965,18,22333,28524.0
79,1965,44,7818,
81,1965,4,2740,
81,1965,53,50977,86971.0
81,1965,18,135520,180603.0
81,1965,44,70078,
81,1965,50,5445,
81,1965,68,12534,
82,1965,4,1911,
82,1965,50,3826,
82,1965,18,130594,159828.0
82,1965,44,49155,
82,1965,53,33599,58195.0
82,1965,68,8428,
83,1965,68,7205,
83,1965,53,68748,92877.0
83,1965,44,39190,
83,1965,4,2448,
83,1965,18,95892,117740.0
83,1965,50,2759,
85,1965,50,2542,
85,1965,68,5019,
85,1965,44,37504,
85,1965,18,66475,87965.0
85,1965,4,1203,
85,1965,53,20383,38182.0
87,1965,68,9961,
87,1965,44,50131,
87,1965,53,95838,128010.0
87,1965,4,3490,
87,1965,18,154820,181858.0
87,1965,50,3310,
88,1965,4,1185,
88,1965,68,3552,
88,1965,53,21967,33636.0
88,1965,44,18324,
88,1965,18,57477,67368.0
88,1965,50,1076,
89,1965,44,51339,
89,1965,4,2020,
89,1965,53,66997,91979.0
89,1965,18,148824,182421.0
89,1965,68,7668,
89,1965,50,3069,
90,1965,50,3481,
90,1965,44,56575,
90,1965,68,9723,
90,1965,53,76613,114315.0
90,1965,4,4355,
90,1965,18,259049,290845.0
91,1965,53,69188,80474.0
91,1965,18,42554,51398.0
91,1965,68,3982,
91,1965,4,1062,
91,1965,44,13588,
91,1965,50,1438,
93,1965,53,409462,507483.0
93,1965,68,36910,
93,1965,4,13008,
93,1965,44,124794,
93,1965,50,13068,
93,1965,18,552584,633173.0
